firm,website,status,careers_page,external_job_platform,opening_words_found,no_opening_phrase,result
365 Capital,https://365capital.com/,ok,,,,,NO CAREERS PAGE FOUND
3i Benelux,http://www.3i.com,ok,http://www.3i.com/about-us/careers/,https://3i.wd103.myworkdayjobs.com/Intern_Career,internship,,JOBS ON EXTERNAL PLATFORM - CHECK LINK
4impact capital,https://www.4impact.vc/,ok,,,,,NO CAREERS PAGE FOUND
5square,http://www.5square.nl,ok,,,,,NO CAREERS PAGE FOUND
819 Capital Partners,https://www.819-capital.com,ok,,,,,NO CAREERS PAGE FOUND
AAC Capital Partners Holding,http://www.aaccapital.com,ok,,,,,NO CAREERS PAGE FOUND
Abenex,https://www.abenex.com/,ok,https://www.abenex.com/fr/page/equipe#section-58,,analyst,,LIKELY OPENINGS
ABN AMRO Corporate Investments,https://www.abnamro.nl/en/commercialbanking/corporates-institutionals/products/expand-your-business/private-equity.html,ok,https://www.werkenbijabnamro.nl/en/,,"internship, traineeship, vacancies, vacancy, vacature",,LIKELY OPENINGS
Active Capital Company,https://www.activecapitalcompany.com/,ok,https://www.activecapitalcompany.com/jobs,,"open position, vacancies",no open vacancies,UNCLEAR - CHECK BY HAND
Advent International plc,https://www.adventinternational.com/,ok,,,,,NO CAREERS PAGE FOUND
Alder Tree Investments,https://www.aldertreecharity.nl,ok,,,,,NO CAREERS PAGE FOUND
AlpInvest Partners,https://www.alpinvest.com/,error: HTTPError,,,,,CHECK BY HAND
Antea Participaties,http://www.antea.nl,ok,https://www.antea.nl/vacature-antea-zoekt-een-associate-die-verder-kijkt-dan-een-spreadsheet/,,"associate, vacature",,LIKELY OPENINGS
Anterra Capital,https://anterracapital.com/,ok,,,,,NO CAREERS PAGE FOUND
Argos Wityu,https://argos.wityu.fund/,ok,https://argos.fund/careersen/,,,,"CAREERS PAGE, NO OPENINGS DETECTED"
Avedon Capital Partners,http://www.avedoncapital.com,error: HTTPError,,,,,CHECK BY HAND
AVerest Capital,https://www.averest.nl/,ok,https://www.averest.nl/vacatures,,"stagiair, vacature",,LIKELY OPENINGS
AXECO Participaties,https://www.axeco.nl/participaties/,ok,,,,,NO CAREERS PAGE FOUND
BB Capital Investments,http://www.bbcapital.nl,ok,https://bbcapital.nl/carriere/,,"intern, internship, vacature",Open sollicitatie,UNCLEAR - CHECK BY HAND
Beek Capital,https://www.beekcapital.nl/en/,ok,,,,,NO CAREERS PAGE FOUND
Bencis Capital Partners,http://www.bencis.nl,ok,,,,,NO CAREERS PAGE FOUND
Berk Partners,http://www.berkpartners.nl,ok,,,,,NO CAREERS PAGE FOUND
BioGeneration Ventures,http://www.biogenerationventures.com,ok,https://biogenerationventures.com/en/careers/,,vacancy,open application,UNCLEAR - CHECK BY HAND
Bolster Investment Partners,http://www.bolsterinvestments.nl/,ok,https://bolsterinvestments.nl/werken-bij/,,"associate, intern, stagiair, vacature",,LIKELY OPENINGS
